model,R2_mean,R2_std,R2_median,MAE_mean,MAE_std,RMSE_mean,RMSE_std,label,delta_R2
v2_base,0.7559166477421384,0.0071587980612497,0.7556347558061571,0.4427935332762452,0.0070045081479698,0.6162256042805161,0.0090748717520518,Sigma-Solv,0.0
v2_pairxtb_stage1,0.7562860556117279,0.0075039611878306,0.7555173522617835,0.4486310520353306,0.0069775967979713,0.6157533355962439,0.0094720646741844,Pair-xTB stage 1,0.0003694078695894
v2_pairxtb_stage2,0.7390370759825823,0.0070984246200618,0.7407868380022153,0.4670101562141241,0.0055239561003353,0.6371868512941429,0.0086476634167744,Pair-xTB stage 2,-0.0168795717595561
