delta_abs_error,Solvent_Name
-0.292261004447937,Cyclohexane
-0.3211907148361206,Cyclohexane
-0.318827748298645,Cyclohexane
-0.3378565311431885,Cyclohexane
-0.1847211122512816,Cyclohexane
-0.1336888074874878,Cyclohexane
-0.0716258287429809,Cyclohexane
-0.0513290166854858,Cyclohexane
-0.0127558112144471,Cyclohexane
0.2989783287048341,NMP
0.2439920902252197,NMP
0.1798183917999267,NMP
0.1798183917999267,NMP
0.1798183917999267,NMP
0.0553827881813049,n-Propyl acetate
0.1223189234733582,n-Propyl acetate
0.0869677662849427,n-Propyl acetate
0.1117002367973328,n-Propyl acetate
0.1311201453208924,n-Propyl acetate
0.0920504331588746,n-Propyl acetate
0.1297795176506043,n-Propyl acetate
0.1158530116081237,n-Propyl acetate
0.1632528007030487,n-Propyl acetate
0.1962162256240845,n-Propyl acetate
0.0059517845511437,NMP
-0.0931186731904745,NMP
-0.1105091553181409,NMP
-0.0716712456196547,NMP
-0.1216665245592594,NMP
-0.0356853380799294,NMP
-0.0453741848468781,NMP
0.0785733759403229,NMP
0.0505776554346085,NMP
-0.0005454719066619,NMP
-0.2466696500778198,Cyclohexane
-0.2571500539779664,Cyclohexane
-0.1954665184020995,Cyclohexane
-0.2593261003494262,Cyclohexane
-0.3512648344039917,Cyclohexane
-0.3281896710395813,Cyclohexane
-0.3392718434333802,Cyclohexane
-0.317386269569397,Cyclohexane
-0.4720577464023057,Cyclohexane
0.0519952947954633,Cyclohexane
0.5028376579284668,Cyclohexane
0.3228921890258789,Cyclohexane
-0.040433645248413,NMP
-0.0617613792419433,NMP
0.0052278041839599,NMP
-0.0833307504653931,NMP
-0.0425658226013183,NMP
-0.0981168746948243,NMP
-0.1412792103581752,NMP
-0.0978445842037696,NMP
0.2124228775501251,DMSO
-0.0400125086307525,DMSO
-0.0964647233486175,DMSO
-0.0924731791019439,DMSO
-0.1055514216423034,DMSO
-0.6989960074424746,Ethylene glycol
-0.7015869617462158,Ethylene glycol
-0.7491612434387207,Ethylene glycol
-0.5595226287841797,Ethylene glycol
-0.4690420627593992,Ethylene glycol
-0.4835928566753865,DMSO
-0.3405883423984051,DMSO
-0.3363088145852089,DMSO
-0.3176868110895157,DMSO
-0.4779417514801025,DMSO
-0.4850677847862243,DMSO
-0.4050508141517639,DMSO
-0.2549003679305315,DMSO
-0.2039091289043426,DMSO
-0.1562589854001999,DMSO
0.042759895324707,Cyclohexane
0.1552850008010864,Cyclohexane
0.1812115907669069,Cyclohexane
0.1597998142242431,Cyclohexane
0.1361527442932129,Cyclohexane
0.1564035415649416,Cyclohexane
0.2141585350036621,Cyclohexane
0.1210603713989258,Cyclohexane
0.055351972579956,Cyclohexane
-0.0051572322845458,Cyclohexane
0.0394243001937866,Ethylene glycol
0.0420171022415161,Ethylene glycol
0.0068467855453491,Ethylene glycol
-0.0422279238700866,Ethylene glycol
0.0277630686759948,Ethylene glycol
0.0743573904037475,Ethylene glycol
0.149574875831604,Ethylene glycol
0.1060836315155029,Ethylene glycol
0.1214329302310943,Ethylene glycol
0.0360644161701201,Ethylene glycol
-0.2293211296200752,NMP
-0.2549766451120376,NMP
-0.2658604383468628,NMP
-0.2276962399482728,NMP
-0.2579369843006134,NMP
-0.2004493474960326,NMP
-0.108813852071762,NMP
-0.1296720504760742,NMP
-0.1691464185714722,NMP
-0.463960237801075,DMSO
-0.3945633172988891,DMSO
-0.2631564438343048,DMSO
-0.1626393795013427,DMSO
-0.1415278911590576,DMSO
-0.1607705950736999,DMSO
0.1612816452980041,Ethylene glycol
0.1656997948301713,Ethylene glycol
0.1024351793631655,Ethylene glycol
-0.0225678524368685,Ethylene glycol
-0.0206923146249577,Ethylene glycol
-0.0471601395233023,Ethylene glycol
-0.0742775946855545,Ethylene glycol
-0.0556037127971649,Ethylene glycol
-0.1115881386213005,Ethylene glycol
0.1126407980918884,DMSO
0.0362681429833173,DMSO
0.0013921111822128,DMSO
0.0482183843851088,DMSO
-0.0455734282732009,DMSO
-0.0414810925722121,DMSO
-0.0718917846679687,DMSO
-0.0743956863880158,DMSO
-0.7078025341033936,Cyclohexane
-0.4385108851410662,Cyclohexane
-0.2650742309087449,Cyclohexane
-0.1514511014067859,Cyclohexane
-0.1536479316053807,Cyclohexane
-0.0779133196862646,Cyclohexane
-0.1647667116410591,Cyclohexane
-0.1992862590216094,Cyclohexane
-0.3188054561614991,Cyclohexane
0.4185528755187988,DMSO
0.3698302507400512,DMSO
0.1965755224227904,DMSO
0.2935880422592163,DMSO
0.2272249460220335,DMSO
0.1003929376602172,DMSO
-0.0140832662582397,DMSO
-0.1908645629882813,Ethylene glycol
-0.1577295064926147,Ethylene glycol
-0.1546210050582886,Ethylene glycol
-0.2131733894348144,Ethylene glycol
-0.19939124584198,Ethylene glycol
-0.1826189756393433,Ethylene glycol
-0.1595014333724975,Ethylene glycol
-0.0060200691223143,Ethylene glycol
0.0539077520370483,Ethylene glycol
0.4384206533432007,NMP
0.4384206533432007,NMP
0.4654340147972107,NMP
0.4654340147972107,NMP
0.3520192503929138,NMP
0.3520192503929139,NMP
0.3188631534576416,NMP
0.3188631534576417,NMP
0.3041921854019165,NMP
0.3041921854019165,NMP
0.0616774559020996,n-Propyl acetate
0.0740627646446228,n-Propyl acetate
0.076332688331604,n-Propyl acetate
0.1644112765789032,n-Propyl acetate
0.1589507460594177,n-Propyl acetate
0.1572810560464859,n-Propyl acetate
0.0740068256855011,n-Propyl acetate
-0.0088765919208527,n-Propyl acetate
0.0871625319123268,n-Propyl acetate
0.0881737302988767,n-Propyl acetate
0.2453318238258361,DMSO
0.2120370455086231,DMSO
0.2935700714588165,DMSO
0.2857566028833389,DMSO
0.2214997783303261,DMSO
-0.6419663727283478,Ethylene glycol
-0.7164482474327087,Ethylene glycol
-0.6899562776088715,Ethylene glycol
-0.5568171590566635,Ethylene glycol
-0.542535457178019,Ethylene glycol
0.1571397781372069,n-Propyl acetate
0.1056827306747437,n-Propyl acetate
0.044721484184265,n-Propyl acetate
0.0777797698974608,n-Propyl acetate
0.1106287837028504,n-Propyl acetate
0.1565386652946472,n-Propyl acetate
0.1911202073097229,n-Propyl acetate
0.1964030861854553,n-Propyl acetate
0.1447541117668152,n-Propyl acetate
0.3608999252319336,n-Propyl acetate
0.3821619749069214,n-Propyl acetate
0.2828963994979859,n-Propyl acetate
0.3468511104583741,n-Propyl acetate
0.4513864517211914,n-Propyl acetate
0.4456213712692261,n-Propyl acetate
0.3977702856063843,n-Propyl acetate
0.4702956676483154,n-Propyl acetate
0.4777615666389465,n-Propyl acetate
0.0512077808380126,n-Propyl acetate
0.2344350814819336,n-Propyl acetate
0.2070369720458985,n-Propyl acetate
0.274316668510437,n-Propyl acetate
0.2412072420120239,n-Propyl acetate
