Solvent_Name,n,mean_delta,median_delta,recovered,improved_pct
Cyclohexane,1142,-0.1843362754228273,-0.1990447227191177,0.7521891418563923,75.21891418563924
DMSO,1076,-0.1846486383116547,-0.1884966631356926,0.7379182156133829,73.7918215613383
NMP,1049,-0.1424696885647688,-0.1007132530212402,0.678741658722593,67.8741658722593
Ethylene glycol,1111,0.0285334615753562,0.0222077369689941,0.4671467146714671,46.714671467146715
n-Propyl acetate,1046,0.0454132180391626,0.0475876486873049,0.3652007648183556,36.52007648183556
