LogS,split
0.5186865583771981,training/common sample
-0.7234662087922773,training/common sample
0.4918585767904838,training/common sample
0.4976385197948137,training/common sample
-0.0087105883560844,training/common sample
0.4825029662674184,training/common sample
-1.0281356238393144,training/common sample
-4.7893964044438935,training/common sample
0.3008061504916556,training/common sample
-2.356030326112563,training/common sample
-0.2945630126011449,training/common sample
-0.8975524370528156,training/common sample
-3.138452653255855,training/common sample
-0.8793722368205226,training/common sample
-2.2154709695996773,training/common sample
0.5292166836855922,training/common sample
-3.6994605101200833,training/common sample
-0.7132321088377384,training/common sample
-0.974166635546091,training/common sample
-0.8498184920866321,training/common sample
-2.0531138813815764,training/common sample
-0.2700017142246392,training/common sample
-0.8194200141400424,training/common sample
-0.5977528130633509,training/common sample
-0.8460079883209309,training/common sample
-0.5347909855251052,training/common sample
-1.438946708385422,training/common sample
-2.9607605422552674,training/common sample
-0.9133195982045412,training/common sample
-0.3537763560556012,training/common sample
-0.0867012189731662,training/common sample
-3.9051519572373423,training/common sample
-1.707765540446481,training/common sample
-2.377099581051266,training/common sample
-0.1027433001953819,training/common sample
-0.0214859503385069,training/common sample
-2.375914992412879,training/common sample
-2.496058373217796,training/common sample
0.7775474909000347,training/common sample
-1.2010219750560416,training/common sample
-0.7411617659308546,training/common sample
-3.1341526431921936,training/common sample
-3.0785186813151655,training/common sample
-1.3090295532038871,training/common sample
-0.4251369736986761,training/common sample
-0.8527224072208406,training/common sample
0.1354735677939503,training/common sample
-0.325534275839797,training/common sample
-2.3227907190813344,training/common sample
0.6438227412720161,training/common sample
-1.3732811294861489,training/common sample
-2.77037585985611,training/common sample
-0.7873668229778584,training/common sample
1.2247047686914625,training/common sample
-3.0267029056493953,training/common sample
0.2536488567023992,training/common sample
0.7455280527296012,training/common sample
0.0497962840562645,training/common sample
-2.5103850545272373,training/common sample
-1.5663212011670815,training/common sample
-1.5437544453148655,training/common sample
-1.9131616230157769,training/common sample
-0.9759702350419618,training/common sample
0.2925825860405004,training/common sample
-0.3498861446957361,training/common sample
-0.748931316525752,training/common sample
-0.5899591204556583,training/common sample
-1.0471291222383106,training/common sample
-4.33148492348092,training/common sample
0.5628341157750423,training/common sample
-0.2857510929905941,training/common sample
0.67793089841462,training/common sample
-0.8935934971053571,training/common sample
0.3808678024945614,training/common sample
-2.2538456928395445,training/common sample
-0.4272406215059766,training/common sample
0.7789042631605244,training/common sample
0.6859970295365856,training/common sample
-1.2747653628886284,training/common sample
