reference,candidate,metric,mean_delta,std_delta,median_delta,p2_5,p97_5,wins,n_seeds
v2,v1,R2,-0.07315248167805333,0.014753316193800716,-0.07035193366906278,-0.09789914859269014,-0.043591333467468255,0,20
v2,v1,MAE,0.06663652232559181,0.01408811886590921,0.0646001096848878,0.037958105594983464,0.09174270053376138,0,20
v2,v1,RMSE,0.08623774362740719,0.01702971453103695,0.08402209615795297,0.05192934639534924,0.11476075462781365,0,20
v2,v2_physchem_general_cross,R2,0.007399165030360888,0.007872777859418482,0.007073682859859987,-0.005665342440273424,0.019728511292542092,16,20
v2,v2_physchem_general_cross,MAE,-0.006698871862061681,0.006762381316582678,-0.0057091597667397465,-0.01536596881062695,0.0054086380748309786,17,20
v2,v2_physchem_general_cross,RMSE,-0.009407884725642445,0.010045960835137688,-0.00899923094907673,-0.025069266213099066,0.007297169344792923,16,20
v2,v2_physchem_class_cross,R2,0.009549943367682306,0.011640142577686655,0.010160735592777248,-0.0131892740662954,0.025718361027910308,17,20
v2,v2_physchem_class_cross,MAE,-0.013471499538309367,0.010021789561828294,-0.014164752958076204,-0.026663143847806013,0.005488167288225432,19,20
v2,v2_physchem_class_cross,RMSE,-0.012197573442712334,0.014870831055360323,-0.012998623019555122,-0.03301616196050452,0.016856973370347007,17,20
