model,feature_count,R2_mean,R2_std,R2_median,MAE_mean,MAE_std,RMSE_mean,RMSE_std
v1,33,0.6827641660640851,0.012650735400895126,0.6814099868696897,0.509430055601837,0.011758551951595097,0.7024633479079233,0.01407843816760285
v2,47,0.7559166477421384,0.007158798061249727,0.7556347558061571,0.4427935332762452,0.007004508147969874,0.6162256042805161,0.009074871752051827
v2_physchem_general_cross,75,0.7633158127724993,0.006731109154666926,0.7624400399267636,0.4360946614141835,0.007077824552027259,0.6068177195548736,0.008634300140320742
v2_physchem_class_cross,98,0.7654665911098207,0.008046668733072988,0.7671444122432992,0.4293220337379358,0.007350840242288971,0.6040280308378037,0.010358413514844154
