model,feature_count,R2_mean,R2_std,R2_median,MAE_mean,MAE_std,RMSE_mean,RMSE_std
2D-Elec,33,0.9622636096659433,0.0008788772327545873,0.9620928718530062,0.16194462332054932,0.001592127945179139,0.23392993004495904,0.00306137251852164
2D-Min,25,0.9537144356167738,0.0007672676089729529,0.9534811016572615,0.18201496578740578,0.0014374315293519773,0.25908290335524775,0.002408062341317333
Sigma-Solv,47,0.9664957112342363,0.0007370725649889752,0.9667265686049882,0.1510477580842416,0.001144191164830199,0.22042153988329907,0.0025146723743607407
Sigma-noElec,39,0.9636832702477245,0.0008856933832744747,0.9637829785499894,0.15810614966107972,0.0015986781156488565,0.22948517419742792,0.0030259802076829973
