model,feature_count,R2_mean,R2_std,R2_median,MAE_mean,MAE_std,RMSE_mean,RMSE_std
v1,33,0.6827641660640851,0.012650735400895126,0.6814099868696897,0.509430055601837,0.011758551951595097,0.7024633479079233,0.01407843816760285
v2,47,0.7559166477421384,0.007158798061249727,0.7556347558061571,0.4427935332762452,0.007004508147969874,0.6162256042805161,0.009074871752051827
class_cross_top33_valshap,33,0.7555393649726184,0.025190951101187235,0.7658924478816029,0.456248960235614,0.030957460244764576,0.6160387419696349,0.030703677729268238
class_cross_top47_valshap,47,0.7883833939332014,0.008127044864693633,0.785919846322283,0.4130075896694477,0.008118064041601225,0.5737371733038579,0.011105450582302051
class_cross_top60_valshap,60,0.774531322104558,0.0075405724056178585,0.7752354781821171,0.42431452137723874,0.006132934351941735,0.5922439937267623,0.00991734538980709
class_cross_full98,98,0.7654665911098207,0.008046668733072988,0.7671444122432992,0.4293220337379358,0.007350840242288971,0.6040280308378037,0.010358413514844154
