reference,candidate,metric,mean_delta,std_delta,median_delta,wins,n_seeds
v1,v2,R2,0.07315248167805333,0.014753316193800716,0.07035193366906278,20,20
v1,v2,MAE,-0.06663652232559181,0.01408811886590921,-0.0646001096848878,20,20
v1,v2,RMSE,-0.08623774362740719,0.01702971453103695,-0.08402209615795297,20,20
v1,class_cross_top33_valshap,R2,0.07277519890853332,0.026024826698384233,0.08015856337964589,20,20
v1,class_cross_top33_valshap,MAE,-0.05318109536622299,0.029537259618276,-0.0629837458625089,18,20
v1,class_cross_top33_valshap,RMSE,-0.08642460593828831,0.031299152709147154,-0.09486005898856675,20,20
v1,class_cross_top47_valshap,R2,0.10561922786911637,0.017913502440413082,0.10528967042808152,20,20
v1,class_cross_top47_valshap,MAE,-0.09642246593238932,0.01710826870822919,-0.09543875505739824,20,20
v1,class_cross_top47_valshap,RMSE,-0.12872617460406538,0.021562520275771997,-0.1277983420585908,20,20
v1,class_cross_top60_valshap,R2,0.091767156040473,0.016012614032486504,0.09597194192088343,20,20
v1,class_cross_top60_valshap,MAE,-0.08511553422459828,0.013899909210535567,-0.08763368802425683,20,20
v1,class_cross_top60_valshap,RMSE,-0.11021935418116105,0.01879504376542429,-0.11516145148006829,20,20
v1,class_cross_full98,R2,0.08270242504573563,0.01208167016720859,0.08283004248176018,20,20
v1,class_cross_full98,MAE,-0.08010802186390116,0.010994517045753395,-0.08182317087976157,20,20
v1,class_cross_full98,RMSE,-0.09843531707011952,0.013904740617719794,-0.09879289010428194,20,20
