model,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
class_cross_top60_valshap,43,CN1CCCC1=O,NMP,1049,0.7268982507062374,0.3230423921658635,0.40965944975548996
class_cross_top60_valshap,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9016330723716109,0.19294605238684961,0.25181144704423625
class_cross_top60_valshap,43,CS(C)=O,DMSO,1076,0.6641148283156033,0.4594628840593918,0.5977926482678122
class_cross_top60_valshap,43,OCCO,Ethylene glycol,1111,0.7099292885173221,0.41333250060085747,0.5662849336964347
v1,44,C1CCCCC1,Cyclohexane,1142,0.538863635055,0.749772499604747,0.9709939252607669
v1,44,CN1CCCC1=O,NMP,1049,0.5075379676642764,0.4254257434281635,0.5501069260190936
v1,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9263066258033507,0.1535256790007305,0.21795414676468342
v1,44,CS(C)=O,DMSO,1076,0.40903835096827224,0.6547673059211112,0.7929299151209269
v1,44,OCCO,Ethylene glycol,1111,0.7636207680365751,0.3815946168397485,0.5111963281268311
v2,44,C1CCCCC1,Cyclohexane,1142,0.5617966835605944,0.745332822966828,0.9465414938724858
v2,44,CN1CCCC1=O,NMP,1049,0.6266599787012674,0.3673170765845223,0.478975181125176
v2,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9134183475554742,0.18378916942708884,0.2362456662086516
v2,44,CS(C)=O,DMSO,1076,0.6085164753454269,0.48608332888542866,0.6453746445604781
v2,44,OCCO,Ethylene glycol,1111,0.7155042730935148,0.429378812995884,0.5608167043238855
class_cross_full98,44,C1CCCCC1,Cyclohexane,1142,0.5669554216432298,0.7491245285346555,0.9409534302745216
class_cross_full98,44,CN1CCCC1=O,NMP,1049,0.7100354100959239,0.3275525438543276,0.42211736571644703
class_cross_full98,44,CCCOC(C)=O,n-Propyl acetate,1046,0.923774096973793,0.166882771225188,0.22166759238461212
class_cross_full98,44,CS(C)=O,DMSO,1076,0.6704052857855196,0.468118683829265,0.5921684610308171
class_cross_full98,44,OCCO,Ethylene glycol,1111,0.7372425692996787,0.39875404995289526,0.5389650087144228
class_cross_top33_valshap,44,C1CCCCC1,Cyclohexane,1142,0.6137613278245886,0.6877362398661081,0.8886478708578146
class_cross_top33_valshap,44,CN1CCCC1=O,NMP,1049,0.6711809554206651,0.3476379586360811,0.44950985534270094
class_cross_top33_valshap,44,CCCOC(C)=O,n-Propyl acetate,1046,0.8616393552250744,0.24507232332679738,0.29864634491551423
class_cross_top33_valshap,44,CS(C)=O,DMSO,1076,0.6612134046096546,0.4659604690994288,0.6003690052967174
class_cross_top33_valshap,44,OCCO,Ethylene glycol,1111,0.7203716930208455,0.41063473230898634,0.5559985176153213
class_cross_top47_valshap,44,C1CCCCC1,Cyclohexane,1142,0.6242658298407322,0.6851794922599272,0.8764803284227038
class_cross_top47_valshap,44,CN1CCCC1=O,NMP,1049,0.6862045664977667,0.340432859978227,0.4391208374175526
class_cross_top47_valshap,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9129440863884484,0.1856517913223293,0.23689181426649836
class_cross_top47_valshap,44,CS(C)=O,DMSO,1076,0.6618084040185344,0.4659733273711925,0.5998415697532256
class_cross_top47_valshap,44,OCCO,Ethylene glycol,1111,0.7204711696725321,0.4106506966423918,0.5558996116938764
class_cross_top60_valshap,44,C1CCCCC1,Cyclohexane,1142,0.5486296604206832,0.7508292305195724,0.9606569646007422
class_cross_top60_valshap,44,CN1CCCC1=O,NMP,1049,0.6784002108996587,0.3538483513043862,0.44454795218545234
class_cross_top60_valshap,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9093902257076957,0.1790000922332687,0.24167873526038594
class_cross_top60_valshap,44,CS(C)=O,DMSO,1076,0.6695550520072027,0.45552540549501236,0.5929317580814859
class_cross_top60_valshap,44,OCCO,Ethylene glycol,1111,0.714394946605778,0.41262744485134845,0.5619090292396509
v1,45,C1CCCCC1,Cyclohexane,1142,0.4981069762433359,0.8088449844464227,1.0129952444152117
v1,45,CN1CCCC1=O,NMP,1049,0.3968801487019826,0.48067171219563287,0.6087830442025994
v1,45,CCCOC(C)=O,n-Propyl acetate,1046,0.9314007917486078,0.15340411930276865,0.21028605172292583
v1,45,CS(C)=O,DMSO,1076,0.3510155188839359,0.6919805418094461,0.830945059291076
v1,45,OCCO,Ethylene glycol,1111,0.6590959570130642,0.46004638224692546,0.6139021338915835
v2,45,C1CCCCC1,Cyclohexane,1142,0.5652877270571033,0.7424096673261892,0.9427635384209051
v2,45,CN1CCCC1=O,NMP,1049,0.6540559899169625,0.3579451811496091,0.46106658012579477
v2,45,CCCOC(C)=O,n-Propyl acetate,1046,0.9030691405692803,0.19378674582945687,0.2499665792209893
v2,45,CS(C)=O,DMSO,1076,0.6026825828914977,0.49808222841222743,0.6501655525941539
v2,45,OCCO,Ethylene glycol,1111,0.7225309372044819,0.4253002066717476,0.5538476925493767
class_cross_full98,45,C1CCCCC1,Cyclohexane,1142,0.5509402402211719,0.7664277079278594,0.9581949923312229
class_cross_full98,45,CN1CCCC1=O,NMP,1049,0.704538252198252,0.3355902491029313,0.4260998365918162
class_cross_full98,45,CCCOC(C)=O,n-Propyl acetate,1046,0.9094237704396169,0.18813647799731428,0.2416339950603515
class_cross_full98,45,CS(C)=O,DMSO,1076,0.6328873707268577,0.47838467704707643,0.6249637342484855
class_cross_full98,45,OCCO,Ethylene glycol,1111,0.7072426587185523,0.41985096659957627,0.5689013498792282
class_cross_top33_valshap,45,C1CCCCC1,Cyclohexane,1142,0.5820520699573479,0.7239864081904807,0.9244063419404273
class_cross_top33_valshap,45,CN1CCCC1=O,NMP,1049,0.05491288973101294,0.6389601457162621,0.7620731428093861
class_cross_top33_valshap,45,CCCOC(C)=O,n-Propyl acetate,1046,0.816842536735497,0.2776759758000949,0.34360796719448405
class_cross_top33_valshap,45,CS(C)=O,DMSO,1076,0.5380961412828514,0.562158294843074,0.7010208726971575
class_cross_top33_valshap,45,OCCO,Ethylene glycol,1111,0.7185416375115496,0.41985677168499924,0.5578149445550398
class_cross_top47_valshap,45,C1CCCCC1,Cyclohexane,1142,0.6465496371018453,0.6651633999110648,0.8500922227124813
class_cross_top47_valshap,45,CN1CCCC1=O,NMP,1049,0.7576328119030973,0.2998647711496969,0.3859203220141668
class_cross_top47_valshap,45,CCCOC(C)=O,n-Propyl acetate,1046,0.9155138175203972,0.18441965237270636,0.2333693189004383
class_cross_top47_valshap,45,CS(C)=O,DMSO,1076,0.6429991842746379,0.4792377445122334,0.6162965807034892
class_cross_top47_valshap,45,OCCO,Ethylene glycol,1111,0.736862947375261,0.40299867970713255,0.5393542062453209
class_cross_top60_valshap,45,C1CCCCC1,Cyclohexane,1142,0.6202379951903805,0.6919892581178881,0.8811656981906476
class_cross_top60_valshap,45,CN1CCCC1=O,NMP,1049,0.7067780358277744,0.3356282542643433,0.42448171340683866
