learner,feature_layer,feature_count,R2_mean,R2_std,R2_median,MAE_mean,MAE_std,RMSE_mean,RMSE_std,fit_seconds_mean,fit_seconds_total,predict_seconds_mean
XGBoost,2D-Min,25,0.5412449955940246,0.0189735167396154,0.5370901226997375,0.6257060259580612,0.0135389915274028,0.8447233670688901,0.0177725975859379,1.6623390333057615,33.24678066611523,0.0064767270057927
XGBoost,2D-Elec,33,0.6827641874551773,0.0126507289973847,0.681410014629364,0.5094300612807274,0.0117585410224942,0.7024633453334511,0.0140784418334707,2.025543697952526,40.510873959050514,0.0066838771046604
XGBoost,Sigma-Solv,47,0.7559166759252548,0.0071587954567867,0.7556347846984863,0.4427935436367988,0.0070045107977059,0.6162256035934571,0.0090748725177429,2.614540702206432,52.29081404412864,0.0070097459451062
XGBoost,CAT-Solv-47,47,0.788383400440216,0.008127039494905,0.7859198451042175,0.4130075842142105,0.0081180536523048,0.5737371764397371,0.0111054487832898,2.9486249665991635,58.97249933198327,0.0071901895018527
RandomForest,2D-Min,25,0.4917385520703767,0.0063346790788416,0.4922079883811483,0.6338625257730766,0.0040086338397548,0.889305507020255,0.0055366586679846,9.513033829195772,190.26067658391548,0.0473902583005838
RandomForest,2D-Elec,33,0.5885258274047164,0.004359782379698,0.589827644541019,0.5583246281064597,0.0035537892677563,0.8001675020318461,0.004233403832807,13.38333452080551,267.6666904161102,0.04700311460183
RandomForest,Sigma-Solv,47,0.7149650338386152,0.0042197042479363,0.7149237153240325,0.4630481774222056,0.0031850948120404,0.6659677186213344,0.0049256145666257,19.648405793705024,392.9681158741005,0.0468295583006693
RandomForest,CAT-Solv-47,47,0.675438211482611,0.0060030398666092,0.6762711475821911,0.5009935226188041,0.0067773210959757,0.7106348147957845,0.0065652841116873,23.37802119169792,467.56042383395834,0.0450080394890392
ExtraTrees,2D-Min,25,0.5460794594315496,0.0051146470993423,0.5450119837886034,0.5914004513847467,0.0031055685104304,0.8404245569287474,0.0047453775853838,5.802143785491353,116.04287570982706,0.0716777603462105
ExtraTrees,2D-Elec,33,0.6102519200378345,0.0035438050302218,0.6105070755163358,0.5466193189781714,0.0029526975510692,0.7787590542887428,0.0035455582813018,7.680249818754964,153.6049963750993,0.0745665895985439
ExtraTrees,Sigma-Solv,47,0.7270047309580725,0.0059004759254634,0.7265342774092178,0.4457818354656737,0.0040355984388483,0.6517314029517649,0.0070745148065415,11.04160633755382,220.83212675107643,0.0718689666071441
ExtraTrees,CAT-Solv-47,47,0.7533655020024128,0.0040263012542094,0.7527377751643893,0.4294490314172973,0.0037581269196189,0.619481851525486,0.0050515401016114,10.99514434155717,219.9028868311434,0.0826636146055534
HistGradientBoosting,2D-Min,25,0.5046277891281027,0.0241350458259329,0.5034142160621848,0.6541686030634026,0.0160639263111523,0.8777237845944896,0.0214655919573572,8.304000585406902,166.08001170813804,0.0367357040609931
HistGradientBoosting,2D-Elec,33,0.6043560627315039,0.0188387462338206,0.6044658540799703,0.5653747124150514,0.0135241412401699,0.7844273898170137,0.0185153942584785,9.015653079145704,180.3130615829141,0.0387429437949322
HistGradientBoosting,Sigma-Solv,47,0.7738998987885342,0.0086575382204089,0.7728124653037676,0.4230909377604894,0.0069312521544061,0.5930486578100305,0.0113422990769987,9.53474071874516,190.6948143749032,0.0403607813961571
HistGradientBoosting,CAT-Solv-47,47,0.7946766085764914,0.0062635811375356,0.7939020182728289,0.4002128369397724,0.0057644844784503,0.5651796323531209,0.0086310944168737,9.82466137285519,196.4932274571038,0.0424505915987538
