seed,learner,feature_layer,feature_count,train_n,val_n,test_n,fit_seconds,predict_seconds,R2,MAE,RMSE
42,XGBoost,2D-Min,25,88054,9784,5424,1.3612616669852289,0.00566374999471,0.5393455028533936,0.6277387738227844,0.8466483597641039
43,XGBoost,2D-Min,25,88054,9784,5424,1.619102916039992,0.0078171250061132,0.553516149520874,0.6130535006523132,0.8335243403559859
44,XGBoost,2D-Min,25,88054,9784,5424,1.6270283750491217,0.006627540977206,0.535208523273468,0.6306954026222229,0.8504415711477652
45,XGBoost,2D-Min,25,88054,9784,5424,1.6150852919672616,0.0063027080032043,0.5338503122329712,0.6266311407089233,0.8516832318595483
46,XGBoost,2D-Min,25,88054,9784,5424,1.599235832982231,0.006190082989633,0.5364108681678772,0.6310976147651672,0.8493408831213911
47,XGBoost,2D-Min,25,88054,9784,5424,1.7129558750311844,0.0065994170145131,0.5367950201034546,0.6321174502372742,0.8489889049681227
48,XGBoost,2D-Min,25,88054,9784,5424,1.646956458047498,0.0064511249656789,0.5576262474060059,0.6121654510498047,0.8296789668159831
49,XGBoost,2D-Min,25,88054,9784,5424,1.6225168330129236,0.0062199170351959,0.5454303026199341,0.6168031692504883,0.8410380189060735
50,XGBoost,2D-Min,25,88054,9784,5424,1.6575450000236742,0.0063066250295378,0.5526705980300903,0.6163567900657654,0.834313178183114
51,XGBoost,2D-Min,25,88054,9784,5424,1.6539926660479978,0.0065318330307491,0.5122671127319336,0.6502344608306885,0.8711770193218171
52,XGBoost,2D-Min,25,88054,9784,5424,1.6655419580056332,0.006071416020859,0.5335260629653931,0.6319218873977661,0.8519793548813868
53,XGBoost,2D-Min,25,88054,9784,5424,1.7275662499596365,0.0063478750525973,0.5435177087783813,0.627844512462616,0.8428055457654645
54,XGBoost,2D-Min,25,88054,9784,5424,1.698601084004622,0.0060344999656081,0.518685519695282,0.6455786824226379,0.8654258636686286
55,XGBoost,2D-Min,25,88054,9784,5424,1.7434375419979915,0.0064190000412054,0.5371382236480713,0.6299161911010742,0.8486742858936754
56,XGBoost,2D-Min,25,88054,9784,5424,1.7388634999515489,0.007030582986772,0.5166629552841187,0.6364618539810181,0.8672422443327915
57,XGBoost,2D-Min,25,88054,9784,5424,1.730296374997124,0.0066661669989116,0.5370420217514038,0.6304388046264648,0.8487624935191327
58,XGBoost,2D-Min,25,88054,9784,5424,1.706016791984439,0.0066595830139704,0.5568481683731079,0.6164999604225159,0.8304082595455773
59,XGBoost,2D-Min,25,88054,9784,5424,1.69269279204309,0.0068931250134482,0.5363865494728088,0.6286404132843018,0.8493631641947141
60,XGBoost,2D-Min,25,88054,9784,5424,1.706331458000932,0.0063056249637156,0.6029757261276245,0.5859482884407043,0.7860025049101734
61,XGBoost,2D-Min,25,88054,9784,5424,1.7217519999830984,0.0063965420122258,0.5389963388442993,0.6239761710166931,0.8469691502223533
42,XGBoost,2D-Elec,33,88054,9784,5424,1.7389963750028985,0.0054056670051068,0.6781718134880066,0.5087068676948547,0.7076645854476725
43,XGBoost,2D-Elec,33,88054,9784,5424,1.8343824589974247,0.0063433329924009,0.699001133441925,0.4988496899604797,0.6843808247914936
44,XGBoost,2D-Elec,33,88054,9784,5424,1.996517124993261,0.0067624159855768,0.714377760887146,0.4777988791465759,0.6666707595063778
