learner,feature_layer,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
ExtraTrees,Sigma-Solv,42,C1CCCCC1,Cyclohexane,1142,0.49852477417473195,0.7807246846308155,1.0125735256299797
ExtraTrees,Sigma-Solv,42,CN1CCCC1=O,NMP,1049,0.6876872079256884,0.3453030176725076,0.43808221553307236
ExtraTrees,Sigma-Solv,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9676598320006986,0.09790842068167499,0.144384991313157
ExtraTrees,Sigma-Solv,42,CS(C)=O,DMSO,1076,0.5447827465475159,0.5355652137268725,0.695928321751826
ExtraTrees,Sigma-Solv,42,OCCO,Ethylene glycol,1111,0.6669181764471046,0.447334277540824,0.6068181105740469
HistGradientBoosting,Sigma-Solv,42,C1CCCCC1,Cyclohexane,1142,0.6313683286711551,0.6808636933850175,0.8681567567219919
HistGradientBoosting,Sigma-Solv,42,CN1CCCC1=O,NMP,1049,0.6811169440509234,0.3479408267163587,0.4426662974116282
HistGradientBoosting,Sigma-Solv,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9085245943952287,0.1779130003063602,0.2428304178521974
HistGradientBoosting,Sigma-Solv,42,CS(C)=O,DMSO,1076,0.6305140984110742,0.48150575034469323,0.6269805808551562
HistGradientBoosting,Sigma-Solv,42,OCCO,Ethylene glycol,1111,0.728424506230849,0.4169634668857021,0.5479341339604247
XGBoost,CAT-Solv-47,42,C1CCCCC1,Cyclohexane,1142,0.633177352303048,0.670605471034654,0.8660239399539554
XGBoost,CAT-Solv-47,42,CN1CCCC1=O,NMP,1049,0.7381513443535664,0.3118128173442964,0.4011307085319357
XGBoost,CAT-Solv-47,42,CCCOC(C)=O,n-Propyl acetate,1046,0.8939015513587653,0.20524911457245018,0.2615203158719591
XGBoost,CAT-Solv-47,42,CS(C)=O,DMSO,1076,0.6568037630609227,0.4641411772104683,0.60426357062014
XGBoost,CAT-Solv-47,42,OCCO,Ethylene glycol,1111,0.7186368784756343,0.4255219576612156,0.5577205587856731
RandomForest,CAT-Solv-47,42,C1CCCCC1,Cyclohexane,1142,0.5171428342515099,0.7631320173249163,0.9935990495918888
RandomForest,CAT-Solv-47,42,CN1CCCC1=O,NMP,1049,0.21595920363428078,0.564782145146236,0.6941128219153394
RandomForest,CAT-Solv-47,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9273601914291902,0.15812059596371858,0.21639053505240152
RandomForest,CAT-Solv-47,42,CS(C)=O,DMSO,1076,0.350914379726984,0.6137287082355034,0.831009804913802
RandomForest,CAT-Solv-47,42,OCCO,Ethylene glycol,1111,0.6967466525604349,0.43775906425875966,0.5790097391863509
ExtraTrees,CAT-Solv-47,42,C1CCCCC1,Cyclohexane,1142,0.6234415877718482,0.6533502859324662,0.8774411622430972
ExtraTrees,CAT-Solv-47,42,CN1CCCC1=O,NMP,1049,0.6070334941716693,0.38964575821504366,0.49140379258499056
ExtraTrees,CAT-Solv-47,42,CCCOC(C)=O,n-Propyl acetate,1046,0.960125987109045,0.11304830097052745,0.16032302098353182
ExtraTrees,CAT-Solv-47,42,CS(C)=O,DMSO,1076,0.5160698962362058,0.5480768375182863,0.7175405902252546
ExtraTrees,CAT-Solv-47,42,OCCO,Ethylene glycol,1111,0.6933348490477984,0.43150868561236466,0.582257753072099
HistGradientBoosting,CAT-Solv-47,42,C1CCCCC1,Cyclohexane,1142,0.6827408342820163,0.6280030003561862,0.8053949755126023
